feature,quantitative_feature_corr_with_ADHD
SDQ_SDQ_Hyperactivity,0.548420715043411
SDQ_SDQ_Externalizing,0.5188224414862577
SDQ_SDQ_Difficulties_Total,0.4759423194360932
SDQ_SDQ_Generating_Impact,0.4173944400383235
SDQ_SDQ_Conduct_Problems,0.28312779968384694
SDQ_SDQ_Internalizing,0.2749744267061228
SDQ_SDQ_Peer_Problems,0.22932931901585465
SDQ_SDQ_Emotional_Problems,0.21694167832271968
SDQ_SDQ_Prosocial,-0.1984401025276042
APQ_P_APQ_P_OPD,0.14321655719750243
APQ_P_APQ_P_ID,0.11564199491849148
APQ_P_APQ_P_INV,-0.10129580949708744
APQ_P_APQ_P_CP,0.05597143358259405
EHQ_EHQ_Total,0.03573094145245435
APQ_P_APQ_P_PM,0.02867360436390318
MRI_Track_Age_at_Scan,0.014441191974761201
APQ_P_APQ_P_PP,-0.010592493226753512
ColorVision_CV_Score,-0.006321098027463222
